Wed May  5 11:51:54 2021    profile_stats

         20536331 function calls (20387658 primitive calls) in 185796.763 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     19/1    0.001    0.000 185796.765 185796.765 {built-in method builtins.exec}
        1    0.000    0.000 185796.763 185796.763 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:371(run_app)
        1    0.000    0.000 185795.543 185795.543 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1281(mainloop)
        1 185771.549 185771.549 185795.543 185795.543 {method 'mainloop' of '_tkinter.tkapp' objects}
      137    0.006    0.000   23.994    0.175 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1700(__call__)
       84    0.009    0.000   23.986    0.286 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:258(show_options)
       84    0.004    0.000   14.246    0.170 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionPage.py:131(__init__)
       79    0.001    0.000   13.228    0.167 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:214(<lambda>)
       79    0.005    0.000   13.227    0.167 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:321(update_runes_trace)
       84    0.003    0.000   10.441    0.124 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionPage.py:159(parse)
       85    0.004    0.000   10.225    0.120 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RequestsHandler.py:77(get_soup)
       85    0.007    0.000   10.204    0.120 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:97(__init__)
       85    0.001    0.000   10.188    0.120 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:392(_feed)
       85    0.001    0.000   10.187    0.120 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\_htmlparser.py:331(feed)
       85    0.000    0.000   10.184    0.120 C:\ProgramData\Anaconda3\lib\html\parser.py:104(feed)
      170    0.608    0.004   10.184    0.060 C:\ProgramData\Anaconda3\lib\html\parser.py:134(goahead)
       42    0.001    0.000    7.255    0.173 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionNameBox.py:20(<lambda>)
       42    0.001    0.000    7.255    0.173 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:299(champ_selection)
       27    0.001    0.000    7.253    0.269 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:309(show_runes_name)
   108336    0.786    0.000    6.892    0.000 C:\ProgramData\Anaconda3\lib\html\parser.py:301(parse_starttag)
       84    0.002    0.000    5.697    0.068 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:344(show_runes)
       83    0.002    0.000    5.595    0.067 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:187(update_images)
      249    0.025    0.000    5.176    0.021 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:139(update_images)
     2759    0.043    0.000    4.550    0.002 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:87(update_image)
   108336    0.300    0.000    4.446    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\_htmlparser.py:101(handle_starttag)
   108336    0.348    0.000    3.924    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:606(handle_starttag)
       84    0.033    0.000    3.808    0.045 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:112(update_images)
       85    0.010    0.000    3.807    0.045 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RequestsHandler.py:53(load)
     2817    0.050    0.000    3.553    0.001 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:49(prepare_photo_image)
       15    0.000    0.000    3.431    0.229 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:244(<lambda>)
       15    0.001    0.000    3.431    0.229 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:295(roles_button)
        4    0.000    0.000    3.405    0.851 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RequestsHandler.py:37(download)
        4    0.000    0.000    3.403    0.851 C:\ProgramData\Anaconda3\lib\site-packages\requests\api.py:63(get)
        4    0.000    0.000    3.402    0.851 C:\ProgramData\Anaconda3\lib\site-packages\requests\api.py:16(request)
        4    0.001    0.000    3.392    0.848 C:\ProgramData\Anaconda3\lib\site-packages\requests\sessions.py:466(request)
        4    0.000    0.000    3.365    0.841 C:\ProgramData\Anaconda3\lib\site-packages\requests\sessions.py:617(send)
    19236    2.844    0.000    2.854    0.000 {method 'call' of '_tkinter.tkapp' objects}
     3404    0.019    0.000    2.803    0.001 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1682(find_all)
     3404    0.227    0.000    2.784    0.001 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:694(_find_all)
        4    0.000    0.000    2.740    0.685 C:\ProgramData\Anaconda3\lib\site-packages\requests\adapters.py:394(send)
        4    0.000    0.000    2.735    0.684 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\connectionpool.py:494(urlopen)
        4    0.000    0.000    2.732    0.683 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\connectionpool.py:351(_make_request)
      189    0.001    0.000    2.656    0.014 C:\ProgramData\Anaconda3\lib\socket.py:575(readinto)
      189    0.001    0.000    2.655    0.014 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\contrib\pyopenssl.py:311(recv_into)
      189    0.004    0.000    2.653    0.014 C:\ProgramData\Anaconda3\lib\site-packages\OpenSSL\SSL.py:1813(recv_into)
      189    2.646    0.014    2.646    0.014 {built-in method _openssl.SSL_read}
      201    0.001    0.000    2.632    0.013 {method 'readline' of '_io.BufferedReader' objects}
   408559    0.324    0.000    2.228    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1950(search)
   220910    0.479    0.000    2.195    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:468(endData)
      420    0.005    0.000    2.093    0.005 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionPage.py:120(get_groups)
      420    0.008    0.000    2.077    0.005 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionPage.py:114(get_runes)
        4    0.000    0.000    2.045    0.511 C:\ProgramData\Anaconda3\lib\http\client.py:1300(getresponse)
        4    0.000    0.000    2.044    0.511 C:\ProgramData\Anaconda3\lib\http\client.py:299(begin)
        4    0.000    0.000    2.041    0.510 C:\ProgramData\Anaconda3\lib\http\client.py:266(_read_status)
     3153    0.041    0.000    2.016    0.001 C:\ProgramData\Anaconda3\lib\site-packages\PIL\ImageTk.py:85(__init__)
   108421    0.648    0.000    2.015    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:989(__init__)
     3153    0.040    0.000    1.783    0.001 C:\ProgramData\Anaconda3\lib\site-packages\PIL\ImageTk.py:151(paste)
   158686    0.304    0.000    1.711    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1895(search_tag)
    83683    0.215    0.000    1.647    0.000 C:\ProgramData\Anaconda3\lib\html\parser.py:386(parse_endtag)
     3489    0.042    0.000    1.474    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:2770(open)
   107945    0.288    0.000    1.407    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\_htmlparser.py:141(handle_endtag)
    90610    0.427    0.000    1.186    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\__init__.py:265(_replace_cdata_list_attribute_values)
377156/229848    0.642    0.000    1.164    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1983(_matches)
     3095    0.011    0.000    1.147    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1491(__setitem__)
     3095    0.006    0.000    1.136    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1478(configure)
     3095    0.025    0.000    1.130    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1466(_configure)
   107351    0.090    0.000    1.119    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:644(handle_endtag)
     3574    0.993    0.000    0.993    0.000 {built-in method io.open}
   158955    0.141    0.000    0.961    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:838(__new__)
   426331    0.954    0.000    0.954    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:125(setup)
      672    0.945    0.001    0.946    0.001 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RunesDisplay.py:14(round_pictures)
   772832    0.855    0.000    0.855    0.000 {method 'match' of 're.Pattern' objects}
     6550    0.814    0.000    0.854    0.000 {built-in method nt.stat}
     6306    0.016    0.000    0.832    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:1376(is_file)
     6390    0.009    0.000    0.831    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:1173(stat)
     3825    0.079    0.000    0.765    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\ImageFile.py:140(load)
     1680    0.059    0.000    0.754    0.000 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionPage.py:37(get_stones)
  4449991    0.500    0.000    0.734    0.000 {built-in method builtins.isinstance}
   158955    0.239    0.000    0.699    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:510(object_was_parsed)
        4    0.000    0.000    0.683    0.171 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\connectionpool.py:986(_validate_conn)
        4    0.000    0.000    0.683    0.171 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\connection.py:298(connect)
      174    0.000    0.000    0.625    0.004 C:\ProgramData\Anaconda3\lib\site-packages\requests\models.py:815(content)
   363/52    0.001    0.000    0.625    0.012 {method 'join' of 'bytes' objects}
      174    0.000    0.000    0.624    0.004 C:\ProgramData\Anaconda3\lib\site-packages\requests\models.py:746(generate)
      174    0.000    0.000    0.624    0.004 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\response.py:543(stream)
      174    0.001    0.000    0.623    0.004 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\response.py:713(read_chunked)
    90643    0.610    0.000    0.610    0.000 {method 'keys' of 'dict' objects}
      477    0.002    0.000    0.608    0.001 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1657(find)
      174    0.001    0.000    0.593    0.003 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\response.py:677(_update_chunk_length)
   155159    0.044    0.000    0.577    0.000 C:\ProgramData\Anaconda3\lib\html\__init__.py:122(unescape)
        4    0.000    0.000    0.566    0.141 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\util\ssl_.py:296(ssl_wrap_socket)
    29378    0.307    0.000    0.533    0.000 {method 'sub' of 're.Pattern' objects}
        4    0.000    0.000    0.477    0.119 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\contrib\pyopenssl.py:465(wrap_socket)
        4    0.000    0.000    0.476    0.119 C:\ProgramData\Anaconda3\lib\site-packages\OpenSSL\SSL.py:1925(do_handshake)
        4    0.474    0.118    0.476    0.119 {built-in method _openssl.SSL_do_handshake}
   108336    0.104    0.000    0.476    0.000 C:\ProgramData\Anaconda3\lib\html\parser.py:352(check_for_whole_start_tag)
        1    0.000    0.000    0.474    0.474 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionList.py:34(__init__)
   389607    0.275    0.000    0.459    0.000 C:\ProgramData\Anaconda3\lib\_markupbase.py:48(updatepos)
     3489    0.078    0.000    0.452    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:2824(_open_core)
        1    0.000    0.000    0.372    0.372 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2003(__init__)
        1    0.370    0.370    0.370    0.370 {built-in method _tkinter.create}
     3489    0.361    0.000    0.361    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.354    0.354 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:191(__init__)
     3489    0.036    0.000    0.319    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\ImageFile.py:80(__init__)
   107351    0.200    0.000    0.310    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\__init__.py:578(_popToTag)
